e2184w02,b8:ae:ed:7b:42:f3,129.130.11.93
regal,e0:69:95:d1:c4:96,129.130.11.94
n016w71,e8:40:f2:09:91:c4,129.130.11.126
n016w72,e8:40:f2:09:91:f2,129.130.11.127
n016w73,00:1c:c0:2e:cd:c6,129.130.11.128
n016w74,00:19:d1:7e:1d:ae,129.130.11.129
n016w75,00:19:d1:b1:fc:d4,129.130.11.130
n016w76,00:1c:c0:27:bb:f5,129.130.11.131
n016w77,e8:40:f2:09:91:0a,129.130.11.132
n016w78,e8:40:f2:09:91:ba,129.130.11.133
n022w01,e0:69:95:e5:5f:98,129.130.11.143
n022w02,e0:69:95:d1:c4:cd,129.130.11.144
n022w03,e0:69:95:d1:bb:13,129.130.11.145
n022w04,e0:69:95:d1:c4:c3,129.130.11.146
n022w05,e0:69:95:d1:bb:74,129.130.11.147
n022w06,e0:69:95:e5:72:bf,129.130.11.148
n022w07,e0:69:95:e5:5f:b8,129.130.11.149
n022w08,e0:69:95:e5:6c:e6,129.130.11.150
n022w09,e0:69:95:e5:72:df,129.130.11.151
n022w10,e0:69:95:e5:72:a5,129.130.11.152
n022w11,e0:69:95:e5:62:f5,129.130.11.153
n022w12,e0:69:95:e5:60:55,129.130.11.154
n022w13,e0:69:95:e5:5e:1f,129.130.11.155
n022w14,e0:69:95:e5:49:cb,129.130.11.156
n022w15,e0:69:95:e4:db:d5,129.130.11.157
n022w16,e0:69:95:e5:65:0c,129.130.11.158
n022w70,00:13:20:39:bc:da,129.130.11.142
n022w71,00:1e:4f:d1:4e:75,129.130.11.143
n022w72,00:1e:4f:d1:4e:03,129.130.11.144
n022w73,00:1e:4f:d1:4d:69,129.130.11.145
n022w74,00:1e:4f:d1:4c:8b,129.130.11.146
n022w75,00:1e:4f:d1:37:b7,129.130.11.147
n022w76,b8:ac:6f:0e:70:73,129.130.11.148
n022w77,b8:ac:6f:ad:44:c3,129.130.11.149
n022w78,b8:ac:6f:ae:1d:50,129.130.11.150
n022w79,b8:ac:6f:0d:47:5e,129.130.11.151
n022w80,14:fe:b5:fc:9b:fa,129.130.11.152
n022w81,00:1e:4f:d7:76:1e,129.130.11.153
n022w82,b8:ac:6f:ad:ec:49,129.130.11.154
n022w83,b8:ac:6f:ad:ec:a0,129.130.11.155
n022w84,84:8f:69:f8:fc:fa,129.130.11.156
n022w85,b8:ac:6f:0f:26:bd,129.130.11.157
n022w86,a4:ba:db:f8:65:ff,129.130.11.158
e1116w01,d0:50:99:70:e6:06,129.130.11.162
e1116w02,d0:50:99:70:e5:8b,129.130.11.163
e1116w03,d0:50:99:70:e5:83,129.130.11.164
e1116w04,d0:50:99:70:e6:0e,129.130.11.165
e1116w05,d0:50:99:71:7b:be,129.130.11.166
e1116w06,d0:50:99:70:e5:9a,129.130.11.167
e1116w07,d0:50:99:71:7b:ea,129.130.11.168
e1116w08,d0:50:99:83:0a:31,129.130.11.169
